Store,Dept,Date,Weekly_Pred
1.0,1.0,2012-03-02,21786.483139038086
1.0,1.0,2012-03-09,21813.801604270935
1.0,1.0,2012-03-16,22088.85886478424
1.0,1.0,2012-03-23,22736.725246429443
1.0,1.0,2012-03-30,39752.16620159149
1.0,1.0,2012-04-06,34863.07641410828
1.0,1.0,2012-04-13,23303.692721366882
1.0,1.0,2012-04-20,35703.25128555298
1.0,1.0,2012-04-27,30672.772213935852
1.0,2.0,2012-03-02,52784.918298244476
1.0,2.0,2012-03-09,47711.897542476654
1.0,2.0,2012-03-16,47749.41412162781
1.0,2.0,2012-03-23,45971.70879983902
1.0,2.0,2012-03-30,48495.51202964783
1.0,2.0,2012-04-06,48210.95003557205
1.0,2.0,2012-04-13,48192.78331708908
1.0,2.0,2012-04-20,47918.79930353165
1.0,2.0,2012-04-27,46998.235912799835
1.0,3.0,2012-03-02,10744.963000340387
1.0,3.0,2012-03-09,10298.444081982598
1.0,3.0,2012-03-16,9299.716542057693
1.0,3.0,2012-03-23,9724.121422644705
1.0,3.0,2012-03-30,9894.83549915813
1.0,3.0,2012-04-06,10021.122172147036
1.0,3.0,2012-04-13,10098.414813963696
1.0,3.0,2012-04-20,10606.550285302103
1.0,3.0,2012-04-27,9632.94775717333
1.0,4.0,2012-03-02,38638.290353775024
1.0,4.0,2012-03-09,35076.37305831909
1.0,4.0,2012-03-16,35465.39637231827
1.0,4.0,2012-03-23,33785.5223031044
1.0,4.0,2012-03-30,36872.14315891266
1.0,4.0,2012-04-06,36499.70189285278
1.0,4.0,2012-04-13,34768.01960849762
1.0,4.0,2012-04-20,35706.13104438782
1.0,4.0,2012-04-27,35068.71835231781
1.0,5.0,2012-03-02,31320.53854417801
1.0,5.0,2012-03-09,28746.19178724289
1.0,5.0,2012-03-16,26623.23264360428
1.0,5.0,2012-03-23,32506.304549217224
1.0,5.0,2012-03-30,29971.537242889404
1.0,5.0,2012-04-06,25319.758125305176
1.0,5.0,2012-04-13,21914.614682674408
1.0,5.0,2012-04-20,26616.465060710907
1.0,5.0,2012-04-27,22502.173346996307
1.0,6.0,2012-03-02,3874.967804789543
1.0,6.0,2012-03-09,3339.059262394905
1.0,6.0,2012-03-16,3404.2271637916565
1.0,6.0,2012-03-23,3930.439101099968
1.0,6.0,2012-03-30,3162.661235690117
1.0,6.0,2012-04-06,3309.2369602918625
1.0,6.0,2012-04-13,3679.2855974435806
1.0,6.0,2012-04-20,3654.240777373314
