Store,Dept,Date,Weekly_Pred
1.0,1.0,2012-01-06,14234.215453091078
1.0,1.0,2012-01-13,16225.05901990342
1.0,1.0,2012-01-20,16545.58664640272
1.0,1.0,2012-01-27,17359.731766447425
1.0,1.0,2012-02-03,22175.209991970565
1.0,1.0,2012-02-10,41040.690697216894
1.0,1.0,2012-02-17,41628.84605958313
1.0,1.0,2012-02-24,17362.21349987923
1.0,2.0,2012-01-06,42536.7466808029
1.0,2.0,2012-01-13,41205.60560014495
1.0,2.0,2012-01-20,42751.76447978197
1.0,2.0,2012-01-27,41501.29534706462
1.0,2.0,2012-02-03,48938.356548388256
1.0,2.0,2012-02-10,47024.026728642406
1.0,2.0,2012-02-17,48592.460846478934
1.0,2.0,2012-02-24,47781.0813063907
1.0,3.0,2012-01-06,15381.290411305148
1.0,3.0,2012-01-13,12552.200903004617
1.0,3.0,2012-01-20,12876.71475284046
1.0,3.0,2012-01-27,11624.973146805307
1.0,3.0,2012-02-03,11444.153962911689
1.0,3.0,2012-02-10,11198.743146308581
1.0,3.0,2012-02-17,10545.832497335738
1.0,3.0,2012-02-24,10665.307369227521
1.0,4.0,2012-01-06,37681.23949725833
1.0,4.0,2012-01-13,35474.49588135688
1.0,4.0,2012-01-20,35036.57127157762
1.0,4.0,2012-01-27,32867.8436051904
1.0,4.0,2012-02-03,38380.8219228402
1.0,4.0,2012-02-10,35459.89728288294
1.0,4.0,2012-02-17,35614.00094793097
1.0,4.0,2012-02-24,34606.48338587396
1.0,5.0,2012-01-06,22504.391955214087
1.0,5.0,2012-01-13,19469.688776883064
1.0,5.0,2012-01-20,18719.492733147228
1.0,5.0,2012-01-27,24262.42776566581
1.0,5.0,2012-02-03,31561.25225934363
1.0,5.0,2012-02-10,31811.38265477307
1.0,5.0,2012-02-17,30720.653292804258
1.0,5.0,2012-02-24,26236.593131164787
1.0,6.0,2012-01-06,1180.8316963010002
1.0,6.0,2012-01-13,1487.0663290463854
1.0,6.0,2012-01-20,1359.6096174572594
1.0,6.0,2012-01-27,2019.0473627406172
1.0,6.0,2012-02-03,3649.217581890989
1.0,6.0,2012-02-10,4213.354176021181
1.0,6.0,2012-02-17,4223.404993584612
1.0,6.0,2012-02-24,3762.8529360059183
1.0,7.0,2012-01-06,14130.681756178848
1.0,7.0,2012-01-13,10154.605378366075
1.0,7.0,2012-01-20,11446.366748540662
1.0,7.0,2012-01-27,12198.168468144722
1.0,7.0,2012-02-03,15101.693756984547
1.0,7.0,2012-02-10,14998.813604192808
1.0,7.0,2012-02-17,17902.820454113185
1.0,7.0,2012-02-24,16286.817543794401
1.0,8.0,2012-01-06,35125.922622008016
1.0,8.0,2012-01-13,34333.66946637479
1.0,8.0,2012-01-20,34584.934136166936
1.0,8.0,2012-01-27,33982.863677694695
1.0,8.0,2012-02-03,39239.421800176555
1.0,8.0,2012-02-10,36025.43385394331
1.0,8.0,2012-02-17,36173.06146116782
1.0,8.0,2012-02-24,35206.01327514474
1.0,9.0,2012-01-06,15827.852080495679
1.0,9.0,2012-01-13,14063.205505072256
1.0,9.0,2012-01-20,13358.975119374925
1.0,9.0,2012-01-27,14915.158512627706
1.0,9.0,2012-02-03,17204.76486507652
1.0,9.0,2012-02-10,16748.825353748398
1.0,9.0,2012-02-17,18553.05043031473
1.0,9.0,2012-02-24,20564.079057371127
1.0,10.0,2012-01-06,25593.13031941466
1.0,10.0,2012-01-13,25844.912107388023
1.0,10.0,2012-01-20,25884.235175319947
1.0,10.0,2012-01-27,27932.37237593392
1.0,10.0,2012-02-03,33117.1693694978
1.0,10.0,2012-02-10,33798.82659353176
1.0,10.0,2012-02-17,35446.561185592785
1.0,10.0,2012-02-24,33636.87497517606
1.0,11.0,2012-01-06,22421.56941905152
1.0,11.0,2012-01-13,35278.288615318015
1.0,11.0,2012-01-20,23639.73734872765
1.0,11.0,2012-01-27,20760.174602760002
1.0,11.0,2012-02-03,24710.01051126467
1.0,11.0,2012-02-10,20173.816447203048
1.0,11.0,2012-02-17,19975.969724275637
1.0,11.0,2012-02-24,20441.1575779533
1.0,12.0,2012-01-06,8118.153014219948
1.0,12.0,2012-01-13,6797.7890525107505
1.0,12.0,2012-01-20,6849.430272753467
1.0,12.0,2012-01-27,8002.897057804512
1.0,12.0,2012-02-03,8660.283423590707
1.0,12.0,2012-02-10,8563.124590040534
1.0,12.0,2012-02-17,10761.887337047374
1.0,12.0,2012-02-24,10215.230709422263
1.0,13.0,2012-01-06,38156.55012695724
1.0,13.0,2012-01-13,33883.365670373896
1.0,13.0,2012-01-20,35722.138653833186
1.0,13.0,2012-01-27,33669.55100987037
1.0,13.0,2012-02-03,39176.443007371156
1.0,13.0,2012-02-10,35030.46192827332
1.0,13.0,2012-02-17,37067.53116052807
1.0,13.0,2012-02-24,36945.74175038608
1.0,14.0,2012-01-06,15700.253586071134
1.0,14.0,2012-01-13,13057.53178172905
1.0,14.0,2012-01-20,13201.106291678998
1.0,14.0,2012-01-27,13209.73349538402
1.0,14.0,2012-02-03,17301.862200462478
1.0,14.0,2012-02-10,17246.042751942055
1.0,14.0,2012-02-17,16607.251499071375
1.0,14.0,2012-02-24,15753.328360220106
1.0,16.0,2012-01-06,3443.649355208967
1.0,16.0,2012-01-13,4729.6566043202765
1.0,16.0,2012-01-20,4251.789619309362
1.0,16.0,2012-01-27,5302.929861468263
1.0,16.0,2012-02-03,6474.399857239332
1.0,16.0,2012-02-10,7077.992683332413
1.0,16.0,2012-02-17,11363.34086513007
1.0,16.0,2012-02-24,15457.751368335448
1.0,17.0,2012-01-06,6824.868095799349
1.0,17.0,2012-01-13,6418.149400948081
1.0,17.0,2012-01-20,7184.538437540876
1.0,17.0,2012-01-27,6877.171873879386
1.0,17.0,2012-02-03,10976.038944414351
1.0,17.0,2012-02-10,10748.876650282182
1.0,17.0,2012-02-17,11511.491086432012
1.0,17.0,2012-02-24,11009.146378168603
1.0,18.0,2012-01-06,3563.0578040960245
1.0,18.0,2012-01-13,54.71410440094769
1.0,18.0,2012-01-20,1158.7100802119821
1.0,18.0,2012-01-27,1107.8136653820984
1.0,18.0,2012-02-03,3011.4902561088093
1.0,18.0,2012-02-10,14301.137122027576
1.0,18.0,2012-02-17,17229.482261539903
1.0,18.0,2012-02-24,0.0
1.0,19.0,2012-01-06,645.7943476466462
1.0,19.0,2012-01-13,437.7341801398434
1.0,19.0,2012-01-20,694.6413532578154
1.0,19.0,2012-01-27,773.2111621999647
1.0,19.0,2012-02-03,897.6977477120236
1.0,19.0,2012-02-10,1013.2997295074165
1.0,19.0,2012-02-17,893.7125393759925
1.0,19.0,2012-02-24,997.3374107759446
1.0,20.0,2012-01-06,2185.2320120415534
1.0,20.0,2012-01-13,2305.7311132627074
1.0,20.0,2012-01-20,2422.44472103467
1.0,20.0,2012-01-27,2535.80132176145
1.0,20.0,2012-02-03,3654.76170059212
1.0,20.0,2012-02-10,3475.1702243008185
1.0,20.0,2012-02-17,3857.7055065829773
1.0,20.0,2012-02-24,3793.921138564823
1.0,21.0,2012-01-06,7157.366203272424
1.0,21.0,2012-01-13,6910.605310808343
1.0,21.0,2012-01-20,6907.718742788449
1.0,21.0,2012-01-27,7208.999816563766
1.0,21.0,2012-02-03,8103.810698679066
1.0,21.0,2012-02-10,7913.031725748908
1.0,21.0,2012-02-17,8214.792639779887
1.0,21.0,2012-02-24,7996.74746728054
1.0,22.0,2012-01-06,8198.275906419294
1.0,22.0,2012-01-13,6733.467089022975
1.0,22.0,2012-01-20,5970.156902282062
1.0,22.0,2012-01-27,7262.905303404201
1.0,22.0,2012-02-03,12680.308480429114
1.0,22.0,2012-02-10,12417.540784420416
1.0,22.0,2012-02-17,12195.939625772095
1.0,22.0,2012-02-24,10239.380361354473
1.0,23.0,2012-01-06,15626.547949130181
1.0,23.0,2012-01-13,17903.57675936888
1.0,23.0,2012-01-20,15621.899950372754
1.0,23.0,2012-01-27,14889.598072495311
1.0,23.0,2012-02-03,21595.769505894277
1.0,23.0,2012-02-10,20960.5736296901
1.0,23.0,2012-02-17,21260.37137235375
1.0,23.0,2012-02-24,18908.510281000286
1.0,24.0,2012-01-06,3251.766833170783
1.0,24.0,2012-01-13,3771.6557454653084
1.0,24.0,2012-01-20,3096.881742155412
1.0,24.0,2012-01-27,3274.575562326936
1.0,24.0,2012-02-03,6692.187465408351
1.0,24.0,2012-02-10,6173.546989944065
1.0,24.0,2012-02-17,5749.595405258238
1.0,24.0,2012-02-24,4809.52937227278
1.0,25.0,2012-01-06,6238.630736195017
1.0,25.0,2012-01-13,6993.3098946292885
1.0,25.0,2012-01-20,6225.373979717726
1.0,25.0,2012-01-27,6115.870469514281
1.0,25.0,2012-02-03,9137.14828698826
1.0,25.0,2012-02-10,9792.174757973524
1.0,25.0,2012-02-17,9741.122253416339
1.0,25.0,2012-02-24,9015.508089617593
1.0,26.0,2012-01-06,2701.354430580046
1.0,26.0,2012-01-13,3608.7680096072145
1.0,26.0,2012-01-20,3821.1118381959386
1.0,26.0,2012-01-27,4596.207104532979
1.0,26.0,2012-02-03,7489.375706961844
1.0,26.0,2012-02-10,6979.142462627962
1.0,26.0,2012-02-17,7702.077770782169
1.0,26.0,2012-02-24,6536.619802765548
1.0,27.0,2012-01-06,1428.0109317785864
1.0,27.0,2012-01-13,1426.7206226868666
1.0,27.0,2012-01-20,1384.0201982435192
1.0,27.0,2012-01-27,1279.6175460974673
1.0,27.0,2012-02-03,2110.109320905597
1.0,27.0,2012-02-10,1966.3042114727996
1.0,27.0,2012-02-17,1896.8024655235786
1.0,27.0,2012-02-24,1602.7383728941377
1.0,28.0,2012-01-06,559.9892694024602
1.0,28.0,2012-01-13,582.8736499557854
1.0,28.0,2012-01-20,593.2313901038724
1.0,28.0,2012-01-27,664.2111893728725
1.0,28.0,2012-02-03,591.5421323380433
1.0,28.0,2012-02-10,602.2645782108302
1.0,28.0,2012-02-17,701.3759818346007
1.0,28.0,2012-02-24,529.0898873721017
1.0,29.0,2012-01-06,4174.382840879727
1.0,29.0,2012-01-13,3796.4914943942567
1.0,29.0,2012-01-20,3513.749494537362
1.0,29.0,2012-01-27,3919.7285257005133
1.0,29.0,2012-02-03,5963.620265723905
1.0,29.0,2012-02-10,6246.267847924028
1.0,29.0,2012-02-17,6718.01143997733
1.0,29.0,2012-02-24,4153.965412171092
1.0,30.0,2012-01-06,2186.1768591074506
1.0,30.0,2012-01-13,2068.19359957322
1.0,30.0,2012-01-20,2306.9507376161637
1.0,30.0,2012-01-27,2635.6734089640668
1.0,30.0,2012-02-03,3975.7947744051926
1.0,30.0,2012-02-10,4143.706830162555
1.0,30.0,2012-02-17,4621.114367704722
1.0,30.0,2012-02-24,3801.3735392068047
1.0,31.0,2012-01-06,1952.5562119091046
1.0,31.0,2012-01-13,3113.4164513532887
1.0,31.0,2012-01-20,2154.569601293246
1.0,31.0,2012-01-27,1490.7962044170126
1.0,31.0,2012-02-03,2515.712496211636
1.0,31.0,2012-02-10,2254.7704209536896
1.0,31.0,2012-02-17,2168.870233489666
1.0,31.0,2012-02-24,2160.2246862110915
1.0,32.0,2012-01-06,5363.5174196225125
1.0,32.0,2012-01-13,3802.9282890772447
