Store,Dept,Date,Weekly_Pred
1.0,1.0,2012-09-07,19235.16084098816
1.0,1.0,2012-09-14,19935.618430137634
1.0,1.0,2012-09-21,19428.443596363068
1.0,1.0,2012-09-28,20413.742366313934
1.0,1.0,2012-10-05,23429.236741542816
1.0,1.0,2012-10-12,24877.461974143982
1.0,1.0,2012-10-19,26256.092270374298
1.0,1.0,2012-10-26,35229.16492795944
1.0,2.0,2012-09-07,45437.5717113018
1.0,2.0,2012-09-14,45975.37710034847
1.0,2.0,2012-09-21,44999.26497745514
1.0,2.0,2012-09-28,46489.98480165005
1.0,2.0,2012-10-05,48043.20883452892
1.0,2.0,2012-10-12,44265.711421370506
1.0,2.0,2012-10-19,44903.006583452225
1.0,2.0,2012-10-26,44185.151931643486
1.0,3.0,2012-09-07,11653.406368255615
1.0,3.0,2012-09-14,11167.516655802727
1.0,3.0,2012-09-21,9917.478420138359
1.0,3.0,2012-09-28,9605.092089176178
1.0,3.0,2012-10-05,10211.955693244934
1.0,3.0,2012-10-12,9625.524448037148
1.0,3.0,2012-10-19,9546.590961933136
1.0,3.0,2012-10-26,9203.460437655449
1.0,4.0,2012-09-07,37566.861679553986
1.0,4.0,2012-09-14,36228.48795604706
1.0,4.0,2012-09-21,35297.16669130325
1.0,4.0,2012-09-28,36136.65110206604
1.0,4.0,2012-10-05,39108.81457090378
1.0,4.0,2012-10-12,36535.0028553009
1.0,4.0,2012-10-19,36337.13963460922
1.0,4.0,2012-10-26,36505.17775678635
1.0,5.0,2012-09-07,17936.612423181534
1.0,5.0,2012-09-14,19561.22279071808
1.0,5.0,2012-09-21,19891.032107830048
1.0,5.0,2012-09-28,21622.57302546501
1.0,5.0,2012-10-05,25760.081031799316
1.0,5.0,2012-10-12,23169.15255379677
1.0,5.0,2012-10-19,25995.38429760933
1.0,5.0,2012-10-26,22809.401347875595
1.0,6.0,2012-09-07,3262.143616914749
1.0,6.0,2012-09-14,3072.5047771930695
1.0,6.0,2012-09-21,3521.6572165489197
1.0,6.0,2012-09-28,2987.3824701309204
1.0,6.0,2012-10-05,3076.9548890590668
1.0,6.0,2012-10-12,3289.8913719654083
1.0,6.0,2012-10-19,3812.393342733383
1.0,6.0,2012-10-26,3748.292330265045
1.0,7.0,2012-09-07,16538.772382736206
1.0,7.0,2012-09-14,14785.894141197205
1.0,7.0,2012-09-21,14679.174849510193
1.0,7.0,2012-09-28,14095.043245315552
1.0,7.0,2012-10-05,14001.21255493164
1.0,7.0,2012-10-12,14863.325684547424
1.0,7.0,2012-10-19,19380.85558795929
1.0,7.0,2012-10-26,18596.133025169373
1.0,8.0,2012-09-07,35862.52007961273
1.0,8.0,2012-09-14,35949.851177215576
1.0,8.0,2012-09-21,35165.54768657684
1.0,8.0,2012-09-28,37750.6504983902
1.0,8.0,2012-10-05,38356.96113491058
1.0,8.0,2012-10-12,36230.540338516235
1.0,8.0,2012-10-19,36207.76264667511
1.0,8.0,2012-10-26,36358.77224445343
1.0,9.0,2012-09-07,42718.42070579529
1.0,9.0,2012-09-14,32902.11245059967
1.0,9.0,2012-09-21,33521.82172203064
1.0,9.0,2012-09-28,42872.3756980896
